iri,broader,prefLabel
https://linked.data.gov.au/def/alteration-form/banding-controlled,https://linked.data.gov.au/def/alteration-form/layer-controlled,banding-controlled
https://linked.data.gov.au/def/alteration-form/bedding-controlled,https://linked.data.gov.au/def/alteration-form/layer-controlled,bedding-controlled
https://linked.data.gov.au/def/alteration-form/breccia-vein,https://linked.data.gov.au/def/alteration-form/hydrothermal-breccia-controlled,breccia vein
https://linked.data.gov.au/def/alteration-form/fault-breccia,https://linked.data.gov.au/def/alteration-form/fault-controlled,fault breccia
https://linked.data.gov.au/def/alteration-form/fault-controlled,https://linked.data.gov.au/def/alteration-form/fracture-controlled,fault-controlled
https://linked.data.gov.au/def/alteration-form/foliation-controlled,https://linked.data.gov.au/def/alteration-form/structure-controlled,foliation-controlled
https://linked.data.gov.au/def/alteration-form/fracture-controlled,https://linked.data.gov.au/def/alteration-form/structure-controlled,fracture-controlled
https://linked.data.gov.au/def/alteration-form/hydrothermal-breccia-controlled,https://linked.data.gov.au/def/alteration-form/structure-controlled,hydrothermal breccia-controlled
https://linked.data.gov.au/def/alteration-form/layer-controlled,https://linked.data.gov.au/def/alteration-form/non-pervasive,layer-controlled
https://linked.data.gov.au/def/alteration-form/non-pervasive,,non-pervasive
https://linked.data.gov.au/def/alteration-form/pervasive,,pervasive
https://linked.data.gov.au/def/alteration-form/selective,,selective
https://linked.data.gov.au/def/alteration-form/selectively-non-pervasive,https://linked.data.gov.au/def/alteration-form/selective,selectively non-pervasive
https://linked.data.gov.au/def/alteration-form/selectively-pervasive,https://linked.data.gov.au/def/alteration-form/selective,selectively pervasive
https://linked.data.gov.au/def/alteration-form/shear-zone-controlled,https://linked.data.gov.au/def/alteration-form/structure-controlled,shear zone-controlled
https://linked.data.gov.au/def/alteration-form/structure-controlled,https://linked.data.gov.au/def/alteration-form/non-pervasive,structure-controlled
https://linked.data.gov.au/def/alteration-form/unaltered,,unaltered
https://linked.data.gov.au/def/alteration-form/unconformity-related,https://linked.data.gov.au/def/alteration-form/layer-controlled,unconformity-related
https://linked.data.gov.au/def/alteration-form/vein-controlled,https://linked.data.gov.au/def/alteration-form/structure-controlled,vein-controlled
https://linked.data.gov.au/def/alteration-form/vug-controlled,https://linked.data.gov.au/def/alteration-form/structure-controlled,vug-controlled
https://linked.data.gov.au/def/alteration-form/zoned,https://linked.data.gov.au/def/alteration-form/non-pervasive,zoned
https://linked.data.gov.au/def/alteration-form/zoned-central,https://linked.data.gov.au/def/alteration-form/zoned,zoned-central
https://linked.data.gov.au/def/alteration-form/zoned-inner,https://linked.data.gov.au/def/alteration-form/zoned,zoned-inner
https://linked.data.gov.au/def/alteration-form/zoned-outer,https://linked.data.gov.au/def/alteration-form/zoned,zoned-outer